ladder,rung,gamma,k
spin,1,0.7483586544601708,0.8664033437598875
spin,1,0.6397153338179078,0.9011328633647017
spin,1,1.8364945838802345,0.3687084565385575
spin,1,1.0859674066848628,0.733028501266946
spin,1,1.4922276497034976,0.5392439337393767
spin,1,1.0779373538435304,0.7365732635646343
spin,1,2.143851878057945,0.2288990013937832
spin,1,0.9195577153127943,0.8030859898958346
spin,1,0.536270317240721,0.9298101377381733
spin,1,2.248739366955629,0.1864038704728674
spin,1,0.6169485724681729,0.9078238257516259
spin,1,1.4739181285313647,0.5483633647455101
spin,1,1.8446444636927368,0.3647809125075763
spin,1,2.733158525738718,0.04112806528150437
spin,1,1.7341893918275884,0.41866649527217686
spin,1,1.073102373847656,0.7387002594803801
spin,1,1.14389882460277,0.7070243682078411
spin,1,2.4415584559467307,0.11758992194463166
spin,1,1.5280447547395901,0.5213692752129816
spin,1,2.3258324360035414,0.15734251724010667
spin,1,1.2308233688683634,0.666730798988978
spin,1,1.4721436399114765,0.5492463721390287
spin,1,0.6986809661670917,0.882845633303984
spin,1,1.9051864885822989,0.33590341436032173
spin,1,1.2739689312510514,0.6462439098386276
spin,1,1.2543610796676006,0.65559038971492
spin,1,0.8812049987905632,0.8181109712138573
spin,1,2.3514519306209807,0.14812732716897123
spin,1,0.806188991240625,0.8461268419888021
spin,1,2.6147141696223133,0.06780955257581324
spin,1,1.9270634526564276,0.3256108990070449
spin,1,1.637586510804828,0.466629731311585
spin,1,2.77770807766289,0.03273933509333813
spin,1,1.681389339159101,0.44481614512216316
spin,1,2.152693433056918,0.22519509590049602
spin,1,1.8392134262994602,0.3673972251305265
spin,1,1.018192494749309,0.7624526425995455
spin,1,1.2288479421179557,0.6676616533654725
spin,1,1.7157742656763941,0.427764699965841
spin,1,1.1396525460922233,0.7089550935020416
spin,1,1.8966651222855913,0.33993401003836654
spin,1,1.8292860672168973,0.37218962022949115
spin,1,0.782894605246552,0.8544374231404264
spin,1,2.3372403727425732,0.15321100729569753
spin,1,2.6683077647519595,0.054962100229980784
spin,1,1.7975287090840637,0.3876026287269158
spin,1,0.3995860871487438,0.9606110501774116
spin,1,1.3699168263578807,0.5997656114150027
spin,1,2.0550945290141875,0.2672063091123955
spin,1,1.1315300436772968,0.7126377594528286
spin,1,1.56041605440818,0.5051900429876173
spin,1,0.07530520363587624,0.9985829514248842
spin,1,1.2718528566324006,0.6472553502027599
spin,1,0.6881332779412157,0.8862164542724975
spin,1,1.75819427471186,0.40684848382817324
spin,1,1.891846672395748,0.3422182939203103
spin,1,2.1220514701390183,0.23812157129371955
spin,1,1.5516065388429756,0.5095943051034449
spin,1,0.6563390557990381,0.8961157595664095
spin,1,1.1204143732165865,0.7176547156837241
spin,1,0.9288421169410213,0.7993808817366299
spin,1,1.701112915856627,0.4350259731162484
spin,1,2.028169438789459,0.27920362581272157
spin,1,0.3399634906943436,0.9713834201411051
spin,1,1.7099771674842381,0.43063403836807695
spin,1,0.9085873053719729,0.8074302321908657
spin,1,1.6051849218464986,0.48280909119956683
spin,1,1.8299018711167836,0.37189197191728174
spin,1,2.1140515842953587,0.2415373373650783
spin,1,1.0027401388973867,0.768997266492941
spin,1,1.4433830590698982,0.563534403312118
spin,1,2.4464419077557937,0.1160214211857365
spin,1,1.57958485529698,0.4956057923162743
spin,1,2.0138321123253284,0.2856579349356048
spin,1,1.0898384763942681,0.731314286008873
spin,1,0.9085159210617201,0.8074583795230349
spin,1,1.3545042362761448,0.6073047958970087
spin,1,1.0611343772636816,0.7439410936522994
spin,1,1.3118021675959604,0.6280541937700527
spin,1,2.3191262791952463,0.15979207260646758
spin,1,0.9480158220742524,0.7916479522310923
spin,1,1.99530706804982,0.2940625006277274
spin,1,1.3695189316215644,0.5999605503412501
spin,1,2.2595331421736207,0.1822187757324355
spin,1,1.6808836931538171,0.4450674306283464
spin,1,2.760182386845736,0.03592969227051979
spin,1,1.782539677369471,0.39491768352172857
spin,1,1.1618297264179949,0.6988306815000487
spin,1,1.2384896228057212,0.6631122020050942
spin,1,1.6933112434771114,0.4388956714602791
spin,1,0.600746738302918,0.9124568723377502
spin,1,1.7711004164520425,0.40051632514271207
spin,1,2.2190611913561473,0.19809790889876494
spin,1,2.3538073361630345,0.1472916023683713
spin,1,1.5140903052217518,0.5283378180340105
spin,1,1.1580104973567629,0.700581360047232
spin,1,1.122319233878327,0.7167968664874644
spin,1,0.026778574419633865,0.9998207377006945
spin,1,1.9623382339355269,0.30919295675137193
spin,1,2.114288420331545,0.2414359751801542
spin,1,0.7519647263653384,0.8651741119390736
spin,1,0.4871514973626357,0.9418349281366688
spin,1,1.2703740208426073,0.647961812291633
spin,1,0.8286251353579346,0.8379448388296288
spin,1,0.9577585552704879,0.7876773582276081
spin,1,0.3839895579105062,0.9635887201200288
spin,1,2.2935563251007514,0.1692714297919104
spin,1,2.0074802302990027,0.28853155758701293
spin,1,0.8513816428347256,0.8294722575467995
spin,1,1.4575182518344192,0.5565179838861603
spin,1,1.6502554533984237,0.4603122306091605
spin,1,1.030767361927367,0.7570804174278868
spin,1,1.6520798160141736,0.4594029939809026
spin,1,0.6249102421538907,0.9055078166546903
